IDpol,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Area,Density,Region,claim_occurred,claim_amount,premium_paid
115,1.0,10.11111111111111,12,74,68.0,B12,Diesel,A,393.0,Centre,True,29.4,1419.94
115,1.0,10.11111111111111,12,74,68.0,B12,Diesel,A,393.0,Centre,True,96.3,1403.9
116,1.0,5.972222222222222,13,69,59.0,B12,Diesel,A,393.0,Centre,True,882.0,280.21
116,1.0,5.972222222222222,13,69,59.0,B12,Diesel,A,393.0,Centre,False,0.0,329.25
117,1.0,6.805555555555555,10,52,95.0,B12,Diesel,A,393.0,Centre,False,0.0,314.32
118,1.0,6.388888888888889,38,60,50.0,B12,Regular,A,393.0,Centre,False,0.0,90.68
118,1.0,6.388888888888889,38,60,50.0,B12,Regular,A,393.0,Centre,False,0.0,91.12
119,1.0,6.916666666666666,11,51,50.0,B12,Diesel,A,393.0,Centre,False,0.0,376.8
120,1.0,6.055555555555555,22,53,50.0,B12,Regular,A,393.0,Centre,False,0.0,246.14
121,1.0,6.055555555555555,22,54,50.0,B12,Regular,A,393.0,Centre,False,0.0,231.96
122,1.0,6.25,15,51,104.0,B12,Regular,A,393.0,Centre,True,60.62,241.1
122,1.0,6.25,15,51,104.0,B12,Regular,A,393.0,Centre,False,0.0,247.13
122,1.0,6.25,15,51,104.0,B12,Regular,A,393.0,Centre,False,0.0,238.8
123,1.0,6.25,15,53,104.0,B12,Regular,A,393.0,Centre,False,0.0,336.77
124,1.0,6.277777777777778,23,54,50.0,B12,Diesel,A,393.0,Centre,False,0.0,360.91
124,1.0,6.277777777777778,23,54,50.0,B12,Diesel,A,393.0,Centre,False,0.0,364.52
125,1.0,7.083333333333334,17,44,50.0,B12,Diesel,A,393.0,Centre,False,0.0,291.27
126,1.0,6.666666666666666,15,46,68.0,B12,Diesel,B,393.0,Centre,False,0.0,679.79
127,1.0,6.444444444444445,15,44,77.0,B12,Diesel,A,393.0,Centre,True,441.0,291.4
127,1.0,6.444444444444445,15,44,77.0,B12,Diesel,A,393.0,Centre,False,0.0,291.4
128,1.0,6.444444444444445,15,45,77.0,B12,Diesel,A,393.0,Centre,True,25.975,218.55
128,1.0,6.444444444444445,15,45,77.0,B12,Diesel,A,393.0,Centre,False,0.0,222.93
129,1.0,7.361111111111111,16,44,86.0,B12,Diesel,A,393.0,Centre,False,0.0,317.59
130,1.0,8.055555555555555,20,33,77.0,B12,Regular,A,393.0,Centre,True,121.19666666666666,265.95
130,1.0,8.055555555555555,20,33,77.0,B12,Regular,A,393.0,Centre,True,87.15,269.95
130,1.0,8.055555555555555,20,33,77.0,B12,Regular,A,393.0,Centre,False,0.0,295.6
131,1.0,5.5,18,66,50.0,B12,Diesel,A,393.0,Centre,False,0.0,211.19
131,1.0,5.5,18,66,50.0,B12,Diesel,A,393.0,Centre,False,0.0,204.73
131,1.0,5.5,18,66,50.0,B12,Diesel,A,393.0,Centre,False,0.0,204.85
132,1.0,6.388888888888889,21,61,50.0,B12,Regular,B,393.0,Centre,False,0.0,209.91
133,1.0,6.388888888888889,3,58,50.0,B12,Regular,A,393.0,Centre,False,0.0,231.09
133,1.0,6.388888888888889,3,58,50.0,B12,Regular,A,393.0,Centre,False,0.0,234.54
133,1.0,6.388888888888889,3,58,50.0,B12,Regular,A,393.0,Centre,False,0.0,225.63
134,1.0,6.916666666666666,16,52,77.0,B12,Diesel,A,393.0,Centre,False,0.0,302.84
134,1.0,6.916666666666666,16,52,77.0,B12,Diesel,A,393.0,Centre,False,0.0,305.87
134,1.0,6.916666666666666,16,52,77.0,B12,Diesel,A,393.0,Centre,False,0.0,307.4
135,1.0,6.444444444444445,12,43,50.0,B12,Regular,A,393.0,Centre,False,0.0,392.26
135,1.0,6.444444444444445,12,43,50.0,B12,Regular,A,393.0,Centre,False,0.0,392.27
135,1.0,6.444444444444445,12,43,50.0,B12,Regular,A,393.0,Centre,False,0.0,394.25
136,1.0,4.277777777777778,17,45,50.0,B12,Regular,A,393.0,Centre,False,0.0,114.25
136,1.0,4.277777777777778,17,45,50.0,B12,Regular,A,393.0,Centre,False,0.0,116.53
137,1.0,6.0,22,43,77.0,B12,Diesel,A,393.0,Centre,True,65.06,630.98
138,1.0,6.944444444444445,6,33,122.0,B12,Diesel,A,393.0,Centre,False,0.0,567.57
139,1.0,6.944444444444445,19,36,50.0,B12,Regular,A,393.0,Centre,False,0.0,292.49
140,1.0,7.222222222222222,17,38,68.0,B12,Diesel,A,393.0,Centre,True,396.475,269.03
140,1.0,7.222222222222222,17,38,68.0,B12,Diesel,A,393.0,Centre,False,0.0,290.54
141,1.0,6.777777777777778,18,35,59.0,B12,Diesel,B,393.0,Centre,False,0.0,388.05
142,1.0,6.666666666666666,11,45,50.0,B12,Regular,B,393.0,Centre,False,0.0,205.99
142,1.0,6.666666666666666,11,45,50.0,B12,Regular,B,393.0,Centre,False,0.0,207.01
